group1,group2,bothTest,bothTrain
2003650,2725650,0,84
2003650,2727653,5,63
2003650,2731670,0,84
2003650,2733650,3,63
2003650,2739651,0,84
2003650,2743650,2,70
2003650,2751650,0,84
2003650,2757652,2,63
2003650,2767650,0,84
2003650,2769660,3,63
2003650,2771670,0,84
2003650,2773651,2,73
2003650,2775653,0,84
2003650,2777670,5,65
2003650,2779670,0,84
2003650,2785650,4,72
2003650,2787660,0,84
2003650,2795690,3,74
2003650,2799653,0,84
2003650,2801653,0,71
2003650,2803670,0,84
2003650,2805660,3,66
2003650,2807650,0,84
2003650,2811650,6,72
2003650,2815650,0,84
2003650,2817670,2,64
2003650,2823650,0,84
2003650,2827650,0,67
2003650,2829660,0,84
2003650,2831680,4,65
2003650,2835650,0,84
2003650,2837680,4,69
2003650,2841680,0,84
2003650,2843670,1,67
2003650,2849650,0,84
2003650,2853660,1,66
2003650,2855690,0,84
2003650,2857650,4,61
2003650,2859650,0,84
2003650,2861650,1,70
2003650,2863680,0,84
2003650,2871650,5,68
2003650,2873653,0,84
2003650,2879660,2,65
2003650,2883650,0,84
2003650,2887670,3,65
2003650,2889660,0,84
2003650,2893660,1,71
2003650,2895650,0,84
2003650,2901651,2,69
2003650,2903653,0,84
2003650,2905650,4,65
2003650,2907653,0,84
2003650,2909653,3,66
2003650,2911680,0,84
2003650,2913650,3,72
2003650,2915650,0,84
2003650,2917650,1,69
2003650,2921652,0,84
2003650,2923650,2,68
2003650,2929650,0,84
2003650,2931650,3,67
2003650,2933652,0,84
2003650,2935650,3,67
2003650,2937653,0,84
2003650,2939650,2,64
2003650,2943650,0,84
2003650,2945660,3,71
2003650,2955670,0,84
2003650,2957680,2,66
2003650,2959660,0,84
2003650,2961650,3,65
2003650,2963670,0,84
2003650,2965650,2,66
2003650,2967680,0,84
2003650,2969650,3,61
2003650,2971660,0,84
2003650,2981651,5,67
2003650,2987670,0,84
2003650,2991650,1,69
2003650,2993690,0,84
2003650,2995660,2,67
2003650,2997651,0,84
2003650,2999650,3,67
2003650,3001670,0,84
2003650,3005653,2,62
2003650,3009670,0,84
2003650,3011651,5,68
2003650,3013653,0,84
2003650,3015650,5,68
2003650,3021690,0,84
2003650,3023652,2,69
2003650,3025650,0,84
2003650,3031650,2,70
2003650,3033660,0,84
2003650,3043652,2,70
2003650,3047652,0,84
2003650,3049660,2,68
2003650,3051650,0,84
2003650,3053650,1,61
2003650,3061660,0,84
2003650,3063660,4,71
2003650,3065652,0,84
2003650,3069660,1,63
2003650,3073680,0,84
2003650,3075653,2,60
2003650,3081660,0,84
2003650,3085650,4,64
2003650,3087661,0,84
2003650,3089650,1,65
2003650,3091650,0,84
2003650,3095670,2,69
2003650,3099680,0,84
2003650,3101650,2,65
2003650,3103670,0,84
2003650,3105660,3,67
2003650,3109650,0,84
2003650,3111650,0,74
