mcc,split,algorithm,subset,state
0.722754,split_27,optifit,test,fit
0.893277,split_28,optifit,test,combo
0.730224,split_28,optifit,test,fit
0.893279,split_29,optifit,test,combo
0.74322,split_29,optifit,test,fit
0.893474,split_30,optifit,test,combo
0.760296,split_30,optifit,test,fit
0.893652,split_31,optifit,test,combo
0.732083,split_31,optifit,test,fit
0.894139,split_32,optifit,test,combo
0.728916,split_32,optifit,test,fit
0.89464,split_33,optifit,test,combo
0.782845,split_33,optifit,test,fit
0.894659,split_34,optifit,test,combo
0.747135,split_34,optifit,test,fit
0.894347,split_35,optifit,test,combo
0.760239,split_35,optifit,test,fit
0.893195,split_36,optifit,test,combo
0.710309,split_36,optifit,test,fit
0.893671,split_37,optifit,test,combo
0.74372,split_37,optifit,test,fit
0.894898,split_38,optifit,test,combo
0.761428,split_38,optifit,test,fit
0.893731,split_39,optifit,test,combo
0.772337,split_39,optifit,test,fit
0.893512,split_40,optifit,test,combo
0.749438,split_40,optifit,test,fit
0.893806,split_41,optifit,test,combo
0.726588,split_41,optifit,test,fit
0.894761,split_42,optifit,test,combo
0.72429,split_42,optifit,test,fit
0.894184,split_43,optifit,test,combo
0.750374,split_43,optifit,test,fit
0.893698,split_44,optifit,test,combo
0.736197,split_44,optifit,test,fit
0.893938,split_45,optifit,test,combo
0.735268,split_45,optifit,test,fit
0.892342,split_46,optifit,test,combo
0.738495,split_46,optifit,test,fit
0.895242,split_47,optifit,test,combo
0.739987,split_47,optifit,test,fit
0.893642,split_48,optifit,test,combo
0.739551,split_48,optifit,test,fit
0.895014,split_49,optifit,test,combo
0.74083,split_49,optifit,test,fit
0.893241,split_50,optifit,test,combo
0.7391,split_50,optifit,test,fit
0.894102,split_51,optifit,test,combo
0.744323,split_51,optifit,test,fit
0.89338,split_52,optifit,test,combo
0.740251,split_52,optifit,test,fit
0.892499,split_53,optifit,test,combo
0.759405,split_53,optifit,test,fit
0.894502,split_54,optifit,test,combo
0.720366,split_54,optifit,test,fit
0.894298,split_55,optifit,test,combo
0.723326,split_55,optifit,test,fit
0.895347,split_56,optifit,test,combo
0.755811,split_56,optifit,test,fit
0.892879,split_57,optifit,test,combo
0.727101,split_57,optifit,test,fit
0.89392,split_58,optifit,test,combo
0.708936,split_58,optifit,test,fit
0.893477,split_59,optifit,test,combo
0.719589,split_59,optifit,test,fit
0.893514,split_60,optifit,test,combo
0.750635,split_60,optifit,test,fit
0.893267,split_61,optifit,test,combo
0.730064,split_61,optifit,test,fit
0.894588,split_62,optifit,test,combo
0.730908,split_62,optifit,test,fit
0.894485,split_63,optifit,test,combo
0.73451,split_63,optifit,test,fit
0.89472,split_64,optifit,test,combo
0.764266,split_64,optifit,test,fit
0.892668,split_65,optifit,test,combo
0.723962,split_65,optifit,test,fit
0.895006,split_66,optifit,test,combo
0.721783,split_66,optifit,test,fit
0.893731,split_67,optifit,test,combo
0.739101,split_67,optifit,test,fit
0.894145,split_68,optifit,test,combo
0.739083,split_68,optifit,test,fit
0.894148,split_69,optifit,test,combo
0.7445,split_69,optifit,test,fit
0.894111,split_70,optifit,test,combo
0.753922,split_70,optifit,test,fit
0.893801,split_71,optifit,test,combo
0.723098,split_71,optifit,test,fit
0.893273,split_72,optifit,test,combo
0.735191,split_72,optifit,test,fit
0.895426,split_73,optifit,test,combo
0.736946,split_73,optifit,test,fit
0.892622,split_74,optifit,test,combo
0.734623,split_74,optifit,test,fit
0.892669,split_75,optifit,test,combo
0.729638,split_75,optifit,test,fit
0.894836,split_76,optifit,test,combo
0.743659,split_76,optifit,test,fit
0.894853,split_77,optifit,test,combo
0.728687,split_77,optifit,test,fit
0.89519,split_78,optifit,test,combo
0.733061,split_78,optifit,test,fit
0.895319,split_79,optifit,test,combo
0.743887,split_79,optifit,test,fit
0.894484,split_80,optifit,test,combo
0.754161,split_80,optifit,test,fit
0.895225,split_81,optifit,test,combo
0.739192,split_81,optifit,test,fit
0.893989,split_82,optifit,test,combo
0.754016,split_82,optifit,test,fit
0.892542,split_83,optifit,test,combo
0.76299,split_83,optifit,test,fit
0.892407,split_84,optifit,test,combo
0.753067,split_84,optifit,test,fit
0.894674,split_85,optifit,test,combo
0.759735,split_85,optifit,test,fit
0.894452,split_86,optifit,test,combo
0.739908,split_86,optifit,test,fit
0.894132,split_87,optifit,test,combo
0.717002,split_87,optifit,test,fit
0.894162,split_88,optifit,test,combo
0.749275,split_88,optifit,test,fit
0.891013,split_89,optifit,test,combo
0.755378,split_89,optifit,test,fit
0.893703,split_90,optifit,test,combo
0.749486,split_90,optifit,test,fit
0.893624,split_91,optifit,test,combo
0.738991,split_91,optifit,test,fit
0.894735,split_92,optifit,test,combo
0.761409,split_92,optifit,test,fit
0.893776,split_93,optifit,test,combo
0.720668,split_93,optifit,test,fit
0.894532,split_94,optifit,test,combo
0.736549,split_94,optifit,test,fit
0.895286,split_95,optifit,test,combo
0.74482,split_95,optifit,test,fit
0.893954,split_96,optifit,test,combo
0.707732,split_96,optifit,test,fit
0.895524,split_97,optifit,test,combo
0.721711,split_97,optifit,test,fit
0.893532,split_98,optifit,test,combo
0.711415,split_98,optifit,test,fit
0.893927,split_99,optifit,test,combo
0.771256,split_99,optifit,test,fit
0.893837,split_100,optifit,test,combo
0.748101,split_100,optifit,test,fit
