mcc,split,algorithm,subset,state
0.879904,split_20,optifit_self,test,combo
0.878545,split_20,optifit_self,test,fit
0.877229,split_21,optifit_self,test,combo
0.873407,split_21,optifit_self,test,fit
0.876931,split_22,optifit_self,test,combo
0.869773,split_22,optifit_self,test,fit
0.879834,split_23,optifit_self,test,combo
0.871278,split_23,optifit_self,test,fit
0.874922,split_24,optifit_self,test,combo
0.876736,split_24,optifit_self,test,fit
0.879778,split_25,optifit_self,test,combo
0.87427,split_25,optifit_self,test,fit
0.879852,split_26,optifit_self,test,combo
0.881562,split_26,optifit_self,test,fit
0.879814,split_27,optifit_self,test,combo
0.872192,split_27,optifit_self,test,fit
0.88028,split_28,optifit_self,test,combo
0.884016,split_28,optifit_self,test,fit
0.876196,split_29,optifit_self,test,combo
0.865097,split_29,optifit_self,test,fit
0.880259,split_30,optifit_self,test,combo
0.874049,split_30,optifit_self,test,fit
0.879863,split_31,optifit_self,test,combo
0.873464,split_31,optifit_self,test,fit
0.880266,split_32,optifit_self,test,combo
0.869529,split_32,optifit_self,test,fit
0.880015,split_33,optifit_self,test,combo
0.864172,split_33,optifit_self,test,fit
0.8802,split_34,optifit_self,test,combo
0.875552,split_34,optifit_self,test,fit
0.876661,split_35,optifit_self,test,combo
0.872521,split_35,optifit_self,test,fit
0.880156,split_36,optifit_self,test,combo
0.876703,split_36,optifit_self,test,fit
0.875272,split_37,optifit_self,test,combo
0.865341,split_37,optifit_self,test,fit
0.87656,split_38,optifit_self,test,combo
0.862609,split_38,optifit_self,test,fit
0.88,split_39,optifit_self,test,combo
0.882055,split_39,optifit_self,test,fit
0.880177,split_40,optifit_self,test,combo
0.87406,split_40,optifit_self,test,fit
0.8765,split_41,optifit_self,test,combo
0.874527,split_41,optifit_self,test,fit
0.876141,split_42,optifit_self,test,combo
0.867327,split_42,optifit_self,test,fit
0.880348,split_43,optifit_self,test,combo
0.873145,split_43,optifit_self,test,fit
0.880246,split_44,optifit_self,test,combo
0.883703,split_44,optifit_self,test,fit
0.880048,split_45,optifit_self,test,combo
0.874281,split_45,optifit_self,test,fit
0.879631,split_46,optifit_self,test,combo
0.877782,split_46,optifit_self,test,fit
0.880262,split_47,optifit_self,test,combo
0.875671,split_47,optifit_self,test,fit
0.877162,split_48,optifit_self,test,combo
0.87642,split_48,optifit_self,test,fit
0.880189,split_49,optifit_self,test,combo
0.873802,split_49,optifit_self,test,fit
0.880305,split_50,optifit_self,test,combo
0.878661,split_50,optifit_self,test,fit
0.880083,split_51,optifit_self,test,combo
0.882144,split_51,optifit_self,test,fit
0.87744,split_52,optifit_self,test,combo
0.880062,split_52,optifit_self,test,fit
0.879861,split_53,optifit_self,test,combo
0.875523,split_53,optifit_self,test,fit
0.87985,split_54,optifit_self,test,combo
0.871877,split_54,optifit_self,test,fit
0.880084,split_55,optifit_self,test,combo
0.872312,split_55,optifit_self,test,fit
0.879967,split_56,optifit_self,test,combo
0.872473,split_56,optifit_self,test,fit
0.880459,split_57,optifit_self,test,combo
0.882942,split_57,optifit_self,test,fit
0.876283,split_58,optifit_self,test,combo
0.865596,split_58,optifit_self,test,fit
0.88068,split_59,optifit_self,test,combo
0.881841,split_59,optifit_self,test,fit
0.880254,split_60,optifit_self,test,combo
0.880956,split_60,optifit_self,test,fit
0.880406,split_61,optifit_self,test,combo
0.871003,split_61,optifit_self,test,fit
0.879344,split_62,optifit_self,test,combo
0.870127,split_62,optifit_self,test,fit
0.880078,split_63,optifit_self,test,combo
0.871992,split_63,optifit_self,test,fit
0.876146,split_64,optifit_self,test,combo
0.862336,split_64,optifit_self,test,fit
0.879897,split_65,optifit_self,test,combo
0.870675,split_65,optifit_self,test,fit
0.879978,split_66,optifit_self,test,combo
0.873801,split_66,optifit_self,test,fit
0.880161,split_67,optifit_self,test,combo
0.873177,split_67,optifit_self,test,fit
0.880081,split_68,optifit_self,test,combo
0.878067,split_68,optifit_self,test,fit
0.880025,split_69,optifit_self,test,combo
0.869247,split_69,optifit_self,test,fit
0.880394,split_70,optifit_self,test,combo
0.886229,split_70,optifit_self,test,fit
0.876515,split_71,optifit_self,test,combo
0.866544,split_71,optifit_self,test,fit
0.879913,split_72,optifit_self,test,combo
0.877072,split_72,optifit_self,test,fit
0.879985,split_73,optifit_self,test,combo
0.863082,split_73,optifit_self,test,fit
0.880001,split_74,optifit_self,test,combo
0.872074,split_74,optifit_self,test,fit
0.876864,split_75,optifit_self,test,combo
0.880042,split_75,optifit_self,test,fit
0.880236,split_76,optifit_self,test,combo
0.874287,split_76,optifit_self,test,fit
0.880227,split_77,optifit_self,test,combo
0.876067,split_77,optifit_self,test,fit
0.880155,split_78,optifit_self,test,combo
0.872687,split_78,optifit_self,test,fit
0.879993,split_79,optifit_self,test,combo
0.863242,split_79,optifit_self,test,fit
0.879704,split_80,optifit_self,test,combo
0.871924,split_80,optifit_self,test,fit
0.879574,split_81,optifit_self,test,combo
0.874183,split_81,optifit_self,test,fit
0.879793,split_82,optifit_self,test,combo
0.876366,split_82,optifit_self,test,fit
0.877006,split_83,optifit_self,test,combo
0.881016,split_83,optifit_self,test,fit
0.877236,split_84,optifit_self,test,combo
0.881601,split_84,optifit_self,test,fit
0.880131,split_85,optifit_self,test,combo
0.872668,split_85,optifit_self,test,fit
0.879781,split_86,optifit_self,test,combo
0.864828,split_86,optifit_self,test,fit
0.87693,split_87,optifit_self,test,combo
0.866869,split_87,optifit_self,test,fit
0.879861,split_88,optifit_self,test,combo
0.870317,split_88,optifit_self,test,fit
0.880251,split_89,optifit_self,test,combo
0.883248,split_89,optifit_self,test,fit
