label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
0.03	0.03	2.76043e+07	7.44283e+09	2.5234e+06	3.91613e+06	0.875759	0.999661	0.916243	0.999474	0.916243	0.999139	0.895342	0.895544	
0.03	0.03	2.736e+07	7.40623e+09	2.38344e+06	4.00894e+06	0.8722	0.999678	0.919867	0.999459	0.919867	0.999141	0.895288	0.8954	
0.03	0.03	2.75772e+07	7.44041e+09	2.53849e+06	3.90275e+06	0.876024	0.999659	0.915709	0.999476	0.915709	0.999138	0.895216	0.895427	
0.03	0.03	2.762e+07	7.44085e+09	2.53175e+06	3.90887e+06	0.876022	0.99966	0.916033	0.999475	0.916033	0.999138	0.895374	0.895581	
0.03	0.03	2.74539e+07	7.43908e+09	2.39868e+06	4.02834e+06	0.872044	0.999678	0.919649	0.999459	0.919649	0.99914	0.895101	0.895214	
0.03	0.03	2.74506e+07	7.43164e+09	2.38294e+06	4.03473e+06	0.871854	0.999679	0.920125	0.999457	0.920125	0.99914	0.895236	0.895339	
0.03	0.03	2.74e+07	7.41545e+09	2.38222e+06	4.02996e+06	0.871779	0.999679	0.920012	0.999457	0.920012	0.999139	0.895142	0.895246	
0.03	0.03	2.74077e+07	7.43449e+09	2.37466e+06	4.03739e+06	0.871605	0.999681	0.920266	0.999457	0.920266	0.999141	0.895177	0.895275	
0.03	0.03	2.75108e+07	7.42728e+09	2.48846e+06	3.95014e+06	0.874443	0.999665	0.917049	0.999468	0.917049	0.999137	0.895062	0.895239	
0.03	0.03	2.74713e+07	7.44359e+09	2.39284e+06	4.03107e+06	0.872039	0.999679	0.919876	0.999459	0.919876	0.999141	0.89521	0.895319	
0.03	0.03	2.7467e+07	7.42181e+09	2.44358e+06	4.0073e+06	0.87268	0.999671	0.918304	0.99946	0.918304	0.999135	0.894769	0.894911	
0.03	0.03	2.7263e+07	7.4012e+09	2.39625e+06	4.01017e+06	0.871769	0.999676	0.919207	0.999458	0.919207	0.999138	0.894744	0.89486	
0.03	0.03	2.74162e+07	7.42117e+09	2.38035e+06	4.0339e+06	0.871736	0.999679	0.920113	0.999457	0.920113	0.99914	0.895169	0.895272	
0.03	0.03	2.75548e+07	7.40843e+09	2.67172e+06	3.77506e+06	0.879506	0.999639	0.91161	0.999491	0.91161	0.999134	0.89498	0.89527	
0.03	0.03	2.74346e+07	7.43201e+09	2.39837e+06	4.02618e+06	0.872025	0.999677	0.919607	0.999459	0.919607	0.999139	0.895071	0.895184	
0.03	0.03	2.76103e+07	7.42957e+09	2.62871e+06	3.86007e+06	0.877343	0.999646	0.913069	0.999481	0.913069	0.999131	0.894593	0.894849	
0.03	0.03	2.73082e+07	7.38303e+09	2.37536e+06	3.99742e+06	0.87231	0.999678	0.919977	0.999459	0.919977	0.999141	0.895398	0.895509	
0.03	0.03	2.74828e+07	7.41915e+09	2.5254e+06	3.88976e+06	0.876014	0.99966	0.915843	0.999476	0.915843	0.999139	0.895277	0.895486	
0.03	0.03	2.7474e+07	7.39889e+09	2.49527e+06	3.92961e+06	0.874868	0.999663	0.916739	0.999469	0.916739	0.999136	0.895127	0.895314	
0.03	0.03	2.73841e+07	7.42131e+09	2.38683e+06	4.04154e+06	0.871393	0.999678	0.919827	0.999456	0.919827	0.999138	0.894853	0.894955	
0.03	0.03	2.75859e+07	7.41507e+09	2.66843e+06	3.81341e+06	0.878551	0.99964	0.9118	0.999486	0.9118	0.99913	0.894585	0.894867	
0.03	0.03	2.76403e+07	7.42417e+09	2.65968e+06	3.8221e+06	0.878519	0.999642	0.912222	0.999485	0.912222	0.999131	0.894777	0.895053	
0.03	0.03	2.77459e+07	7.44141e+09	2.72749e+06	3.76428e+06	0.880538	0.999634	0.910496	0.999494	0.910496	0.999132	0.894957	0.895266	
0.03	0.03	2.73603e+07	7.40989e+09	2.36147e+06	4.03117e+06	0.871584	0.999681	0.920547	0.999456	0.920547	0.999141	0.895303	0.895397	
0.03	0.03	2.73675e+07	7.4035e+09	2.3978e+06	4.03386e+06	0.871539	0.999676	0.919443	0.999455	0.919443	0.999135	0.894739	0.89485	
0.03	0.03	2.75553e+07	7.40759e+09	2.52703e+06	3.90073e+06	0.875994	0.999659	0.915996	0.999474	0.915996	0.999136	0.89534	0.895549	
0.03	0.03	2.76015e+07	7.44587e+09	2.5086e+06	3.94893e+06	0.874837	0.999663	0.916686	0.99947	0.916686	0.999137	0.895086	0.895273	
0.03	0.03	2.77654e+07	7.44616e+09	2.71431e+06	3.78111e+06	0.880142	0.999636	0.910947	0.999492	0.910947	0.999132	0.894977	0.89528	
0.03	0.03	2.75159e+07	7.44415e+09	2.39502e+06	4.03509e+06	0.872109	0.999678	0.919928	0.999458	0.919928	0.99914	0.895271	0.895381	
