label	cutoff	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
0.03	0.03	2.73727e+07	7.39622e+09	2.53126e+06	3.86156e+06	0.876368	0.999658	0.915354	0.999478	0.915354	0.99914	0.895218	0.895437	
0.03	0.03	2.75342e+07	7.38944e+09	2.66644e+06	3.76821e+06	0.879619	0.999639	0.911709	0.99949	0.911709	0.999133	0.895086	0.895377	
0.03	0.03	2.75093e+07	7.44563e+09	2.39303e+06	4.03472e+06	0.872093	0.999679	0.919972	0.999458	0.919972	0.999141	0.895284	0.895393	
0.03	0.03	2.75971e+07	7.43611e+09	2.52927e+06	3.91056e+06	0.875885	0.99966	0.916045	0.999474	0.916045	0.999138	0.895309	0.895515	
0.03	0.03	2.73308e+07	7.42345e+09	2.33909e+06	4.07919e+06	0.870131	0.999685	0.921163	0.999451	0.921163	0.999139	0.894854	0.89492	
0.03	0.03	2.74681e+07	7.43674e+09	2.38612e+06	4.03771e+06	0.871842	0.999679	0.920074	0.999457	0.920074	0.99914	0.895205	0.895309	
0.03	0.03	2.73198e+07	7.40445e+09	2.36821e+06	4.01789e+06	0.871787	0.99968	0.92023	0.999458	0.92023	0.999141	0.895253	0.895354	
0.03	0.03	2.7369e+07	7.40134e+09	2.37635e+06	4.02266e+06	0.871856	0.999679	0.92011	0.999457	0.92011	0.999139	0.895229	0.895333	
0.03	0.03	2.7554e+07	7.43324e+09	2.51795e+06	3.90618e+06	0.875837	0.999661	0.916269	0.999475	0.916269	0.99914	0.895395	0.895597	
0.03	0.03	2.74587e+07	7.43258e+09	2.42112e+06	4.01791e+06	0.872352	0.999674	0.918971	0.99946	0.918971	0.999138	0.894928	0.895055	
0.03	0.03	2.77293e+07	7.4286e+09	2.70554e+06	3.77834e+06	0.880082	0.999636	0.911104	0.999492	0.911104	0.999131	0.895023	0.895324	
0.03	0.03	2.75272e+07	7.43678e+09	2.42986e+06	4.01833e+06	0.872618	0.999673	0.918889	0.99946	0.918889	0.999137	0.895024	0.895156	
0.03	0.03	2.74759e+07	7.44308e+09	2.36881e+06	4.06714e+06	0.87106	0.999682	0.920629	0.999454	0.920629	0.999139	0.895072	0.895159	
0.03	0.03	2.75029e+07	7.44722e+09	2.3783e+06	4.04995e+06	0.871646	0.999681	0.920408	0.999456	0.920408	0.999141	0.895267	0.895363	
0.03	0.03	2.74996e+07	7.37293e+09	2.51854e+06	3.89316e+06	0.875986	0.999659	0.9161	0.999472	0.9161	0.999134	0.895386	0.895594	
0.03	0.03	2.7451e+07	7.43004e+09	2.3949e+06	4.02764e+06	0.872052	0.999678	0.919758	0.999458	0.919758	0.99914	0.895158	0.89527	
0.03	0.03	2.74728e+07	7.40476e+09	2.39901e+06	4.0185e+06	0.872393	0.999676	0.91969	0.999458	0.91969	0.999137	0.895299	0.895418	
0.03	0.03	2.77009e+07	7.43865e+09	2.69607e+06	3.7905e+06	0.879634	0.999638	0.911305	0.999491	0.911305	0.999132	0.894895	0.895189	
0.03	0.03	2.76066e+07	7.43952e+09	2.52773e+06	3.91457e+06	0.875811	0.99966	0.916118	0.999474	0.916118	0.999138	0.895307	0.895511	
0.03	0.03	2.74622e+07	7.43808e+09	2.35957e+06	4.0775e+06	0.870719	0.999683	0.920878	0.999452	0.920878	0.999139	0.895017	0.895096	
0.03	0.03	2.76174e+07	7.43108e+09	2.53388e+06	3.90298e+06	0.876176	0.999659	0.915961	0.999475	0.915961	0.999138	0.895417	0.895627	
0.03	0.03	2.75069e+07	7.44428e+09	2.39492e+06	4.03105e+06	0.872184	0.999678	0.919907	0.999459	0.919907	0.999141	0.8953	0.89541	
0.03	0.03	2.74384e+07	7.44004e+09	2.39663e+06	4.06137e+06	0.871067	0.999678	0.919671	0.999454	0.919671	0.999136	0.894608	0.894709	
0.03	0.03	2.73916e+07	7.42096e+09	2.38458e+06	4.01975e+06	0.872029	0.999679	0.919917	0.999459	0.919917	0.999141	0.895224	0.895333	
0.03	0.03	2.75893e+07	7.4443e+09	2.50917e+06	3.94418e+06	0.874921	0.999663	0.916635	0.99947	0.916635	0.999137	0.895104	0.895292	
0.03	0.03	2.75203e+07	7.42118e+09	2.5044e+06	3.9158e+06	0.875436	0.999663	0.916589	0.999473	0.916589	0.999139	0.895346	0.89554	
0.03	0.03	2.75088e+07	7.44587e+09	2.3967e+06	4.03506e+06	0.872081	0.999678	0.919857	0.999458	0.919857	0.99914	0.895222	0.895332	
0.03	0.03	2.72597e+07	7.38743e+09	2.41853e+06	3.98031e+06	0.872589	0.999673	0.918508	0.999461	0.918508	0.999138	0.894824	0.89496	
0.03	0.03	2.74838e+07	7.4448e+09	2.39519e+06	4.03216e+06	0.87206	0.999678	0.919837	0.999459	0.919837	0.999141	0.895201	0.895311	
0.03	0.03	2.73754e+07	7.4172e+09	2.38607e+06	4.00907e+06	0.872259	0.999678	0.919827	0.99946	0.919827	0.999142	0.895299	0.895412	
0.03	0.03	2.74191e+07	7.42204e+09	2.386e+06	4.0122e+06	0.87235	0.999679	0.919947	0.99946	0.919947	0.999142	0.895404	0.895517	
0.03	0.03	2.75671e+07	7.40755e+09	2.6708e+06	3.78213e+06	0.879355	0.99964	0.911674	0.99949	0.911674	0.999133	0.894935	0.895223	
0.03	0.03	2.74674e+07	7.43345e+09	2.39267e+06	4.03138e+06	0.872015	0.999678	0.919871	0.999458	0.919871	0.99914	0.895194	0.895304	
0.03	0.03	2.73191e+07	7.38202e+09	2.41246e+06	3.98415e+06	0.872724	0.999673	0.918859	0.999461	0.918859	0.999137	0.895064	0.895197	
0.03	0.03	2.75104e+07	7.44489e+09	2.38522e+06	4.0448e+06	0.871818	0.99968	0.920215	0.999457	0.920215	0.99914	0.895261	0.895363	
0.03	0.03	2.73902e+07	7.42829e+09	2.35597e+06	4.04954e+06	0.871197	0.999683	0.920798	0.999455	0.920798	0.999142	0.895226	0.895311	
0.03	0.03	2.74711e+07	7.44359e+09	2.37562e+06	4.05026e+06	0.871507	0.999681	0.920406	0.999456	0.920406	0.999141	0.895194	0.895289	
0.03	0.03	2.74986e+07	7.44196e+09	2.39299e+06	4.03743e+06	0.871974	0.999679	0.919944	0.999458	0.919944	0.99914	0.895209	0.895317	
0.03	0.03	2.74783e+07	7.44395e+09	2.40373e+06	4.02046e+06	0.872361	0.999677	0.919559	0.99946	0.919559	0.999141	0.895221	0.895339	
0.03	0.03	2.75888e+07	7.43881e+09	2.53923e+06	3.89938e+06	0.876164	0.999659	0.915719	0.999476	0.915719	0.999138	0.895292	0.895505	
0.03	0.03	2.74647e+07	7.43539e+09	2.42657e+06	4.01091e+06	0.872571	0.999674	0.91882	0.999461	0.91882	0.999138	0.894967	0.895099	
0.03	0.03	2.75167e+07	7.4461e+09	2.40147e+06	4.03081e+06	0.87223	0.999678	0.919732	0.999459	0.919732	0.99914	0.895237	0.895352	
0.03	0.03	2.77186e+07	7.43887e+09	2.72865e+06	3.76823e+06	0.880323	0.999633	0.910381	0.999494	0.910381	0.999131	0.894791	0.8951	
0.03	0.03	2.76516e+07	7.4171e+09	2.69719e+06	3.76946e+06	0.880034	0.999636	0.911127	0.999492	0.911127	0.999132	0.895011	0.895311	
0.03	0.03	2.74458e+07	7.4281e+09	2.37979e+06	4.03758e+06	0.871755	0.99968	0.92021	0.999457	0.92021	0.99914	0.895226	0.895328	
0.03	0.03	2.76765e+07	7.43098e+09	2.70807e+06	3.77674e+06	0.879925	0.999636	0.910873	0.999492	0.910873	0.999131	0.894831	0.895132	
0.03	0.03	2.72603e+07	7.38698e+09	2.36924e+06	3.99618e+06	0.872149	0.999679	0.920038	0.999459	0.920038	0.999142	0.895346	0.895454	
0.03	0.03	2.74966e+07	7.4438e+09	2.38179e+06	4.04927e+06	0.871638	0.99968	0.920284	0.999456	0.920284	0.99914	0.895202	0.895301	
0.03	0.03	2.74439e+07	7.43812e+09	2.38225e+06	4.03517e+06	0.871814	0.99968	0.920129	0.999458	0.920129	0.999141	0.895218	0.89532	
0.03	0.03	2.74357e+07	7.43993e+09	2.37403e+06	4.07492e+06	0.870681	0.999681	0.920361	0.999453	0.920361	0.999137	0.894746	0.894832	
0.03	0.03	2.7601e+07	7.43061e+09	2.54204e+06	3.8925e+06	0.876403	0.999658	0.915667	0.999476	0.915667	0.999138	0.895389	0.895605	
0.03	0.03	2.75021e+07	7.43156e+09	2.42218e+06	4.0165e+06	0.872567	0.999674	0.919056	0.99946	0.919056	0.999138	0.89508	0.895209	
0.03	0.03	2.74944e+07	7.42841e+09	2.39833e+06	4.02146e+06	0.872399	0.999677	0.919769	0.999459	0.919769	0.99914	0.895342	0.895458	
0.03	0.03	2.74292e+07	7.4264e+09	2.41282e+06	4.00749e+06	0.872522	0.999675	0.919147	0.999461	0.919147	0.999139	0.895101	0.895228	
0.03	0.03	2.74261e+07	7.41994e+09	2.38477e+06	4.02902e+06	0.871912	0.999679	0.920003	0.999457	0.920003	0.99914	0.895206	0.895312	
0.03	0.03	2.73489e+07	7.41674e+09	2.36303e+06	4.03185e+06	0.871518	0.999681	0.920469	0.999457	0.920469	0.999142	0.895231	0.895325	
0.03	0.03	2.73789e+07	7.42621e+09	2.36358e+06	4.0487e+06	0.871174	0.999682	0.920532	0.999455	0.920532	0.99914	0.895084	0.895173	
0.03	0.03	2.75744e+07	7.44482e+09	2.5023e+06	3.93609e+06	0.875086	0.999664	0.916803	0.999472	0.916803	0.999139	0.895272	0.895459	
0.03	0.03	2.74884e+07	7.43927e+09	2.42496e+06	4.01889e+06	0.872446	0.999674	0.918934	0.99946	0.918934	0.999138	0.894958	0.895087	
0.03	0.03	2.74711e+07	7.44272e+09	2.3989e+06	4.03258e+06	0.871997	0.999678	0.919689	0.999458	0.919689	0.99914	0.895096	0.895208	
0.03	0.03	2.74423e+07	7.44069e+09	2.37388e+06	4.0425e+06	0.871605	0.999681	0.920383	0.999457	0.920383	0.999142	0.895234	0.89533	
0.03	0.03	2.74531e+07	7.43027e+09	2.41734e+06	4.02238e+06	0.872206	0.999675	0.919073	0.999459	0.919073	0.999137	0.894902	0.895026	
0.03	0.03	2.75313e+07	7.42447e+09	2.5236e+06	3.89429e+06	0.876079	0.99966	0.916034	0.999476	0.916034	0.99914	0.895403	0.895611	
0.03	0.03	2.73109e+07	7.41576e+09	2.37485e+06	4.06074e+06	0.87056	0.99968	0.92	0.999453	0.92	0.999136	0.894508	0.894598	
0.03	0.03	2.74658e+07	7.43919e+09	2.38327e+06	4.04224e+06	0.871708	0.99968	0.920156	0.999457	0.920156	0.99914	0.895175	0.895277	
0.03	0.03	2.74001e+07	7.41741e+09	2.37354e+06	4.02781e+06	0.87184	0.99968	0.920281	0.999457	0.920281	0.999141	0.895304	0.895406	
0.03	0.03	2.74045e+07	7.43448e+09	2.35173e+06	4.07959e+06	0.870424	0.999684	0.920967	0.999452	0.920967	0.999139	0.89491	0.894982	
0.03	0.03	2.75745e+07	7.42795e+09	2.54312e+06	3.89017e+06	0.876364	0.999658	0.91556	0.999477	0.91556	0.999138	0.895317	0.895533	
0.03	0.03	2.76205e+07	7.4455e+09	2.53763e+06	3.90446e+06	0.876147	0.999659	0.915856	0.999476	0.915856	0.999139	0.895351	0.895562	
0.03	0.03	2.73793e+07	7.41787e+09	2.39556e+06	4.05953e+06	0.870875	0.999677	0.919544	0.999453	0.919544	0.999134	0.894447	0.894548	
0.03	0.03	2.74174e+07	7.43021e+09	2.3923e+06	4.02126e+06	0.872092	0.999678	0.919748	0.999459	0.919748	0.999141	0.895174	0.895286	
0.03	0.03	2.73825e+07	7.4079e+09	2.34225e+06	4.07198e+06	0.870544	0.999684	0.921202	0.999451	0.921202	0.999138	0.895085	0.895157	
0.03	0.03	2.74524e+07	7.4248e+09	2.38088e+06	4.03184e+06	0.871941	0.999679	0.920194	0.999457	0.920194	0.99914	0.895314	0.895418	
0.03	0.03	2.7559e+07	7.43432e+09	2.53594e+06	3.89771e+06	0.876093	0.999659	0.915735	0.999476	0.915735	0.999139	0.895264	0.895476	
0.03	0.03	2.75975e+07	7.43856e+09	2.53577e+06	3.90305e+06	0.876096	0.999659	0.915848	0.999476	0.915848	0.999138	0.895321	0.895531	
0.03	0.03	2.75064e+07	7.44611e+09	2.40254e+06	4.0285e+06	0.872252	0.999677	0.919671	0.999459	0.919671	0.99914	0.895219	0.895335	
0.03	0.03	2.74917e+07	7.4317e+09	2.42812e+06	4.00977e+06	0.872712	0.999673	0.918846	0.999461	0.918846	0.999138	0.895051	0.895185	
0.03	0.03	2.75596e+07	7.4293e+09	2.48634e+06	3.96164e+06	0.874319	0.999665	0.917249	0.999467	0.917249	0.999136	0.895095	0.895269	
0.03	0.03	2.72814e+07	7.40666e+09	2.41337e+06	3.99949e+06	0.872143	0.999674	0.918728	0.99946	0.918728	0.999138	0.894702	0.894829	
0.03	0.03	2.74783e+07	7.44051e+09	2.42242e+06	4.02003e+06	0.872373	0.999675	0.918984	0.99946	0.918984	0.999138	0.894945	0.895072	
0.03	0.03	2.74291e+07	7.42409e+09	2.38414e+06	4.02279e+06	0.872097	0.999679	0.920031	0.999458	0.920031	0.999141	0.895315	0.895423	
0.03	0.03	2.74397e+07	7.42638e+09	2.4303e+06	4.00521e+06	0.872628	0.999673	0.918637	0.999461	0.918637	0.999137	0.894906	0.895042	
0.03	0.03	2.74529e+07	7.43933e+09	2.39141e+06	4.03124e+06	0.87196	0.999679	0.919871	0.999458	0.919871	0.999141	0.895166	0.895275	
0.03	0.03	2.73985e+07	7.42923e+09	2.46245e+06	4.08837e+06	0.870156	0.999669	0.917536	0.99945	0.917536	0.999122	0.893094	0.893218	
0.03	0.03	2.76728e+07	7.4344e+09	2.71328e+06	3.77504e+06	0.879959	0.999635	0.910706	0.999492	0.910706	0.999131	0.894766	0.895069	
0.03	0.03	2.74237e+07	7.41568e+09	2.38933e+06	4.01598e+06	0.872264	0.999678	0.919856	0.999459	0.919856	0.99914	0.895315	0.895428	
0.03	0.03	2.74095e+07	7.41082e+09	2.3637e+06	4.0289e+06	0.871848	0.999681	0.92061	0.999457	0.92061	0.999141	0.895469	0.895565	
0.03	0.03	2.74471e+07	7.43738e+09	2.37615e+06	4.04351e+06	0.871596	0.999681	0.920326	0.999457	0.920326	0.999141	0.895201	0.895298	
0.03	0.03	2.73541e+07	7.40515e+09	2.37054e+06	4.01677e+06	0.871958	0.99968	0.92025	0.999458	0.92025	0.999141	0.89535	0.895453	
0.03	0.03	2.74859e+07	7.44333e+09	2.40316e+06	4.02155e+06	0.872362	0.999677	0.919597	0.99946	0.919597	0.999141	0.895239	0.895357	
0.03	0.03	2.74482e+07	7.44422e+09	2.34622e+06	4.08515e+06	0.87045	0.999685	0.921253	0.999452	0.921253	0.99914	0.895063	0.895131	
0.03	0.03	2.73666e+07	7.40781e+09	2.36707e+06	4.0281e+06	0.871695	0.999681	0.920391	0.999457	0.920391	0.999141	0.895284	0.895381	
0.03	0.03	2.7505e+07	7.41703e+09	2.52026e+06	3.91158e+06	0.875493	0.99966	0.916062	0.999473	0.916062	0.999137	0.895117	0.895318	
0.03	0.03	2.72767e+07	7.36821e+09	2.3783e+06	3.98827e+06	0.872436	0.999677	0.919801	0.999459	0.919801	0.99914	0.895377	0.895493	
0.03	0.03	2.76111e+07	7.43414e+09	2.53383e+06	3.90354e+06	0.876136	0.999659	0.915945	0.999475	0.915945	0.999138	0.895389	0.895598	
0.03	0.03	2.76928e+07	7.43549e+09	2.68497e+06	3.79585e+06	0.879453	0.999639	0.911614	0.99949	0.911614	0.999132	0.894955	0.895245	
0.03	0.03	2.7487e+07	7.43245e+09	2.40148e+06	4.0209e+06	0.872384	0.999677	0.919652	0.999459	0.919652	0.99914	0.895277	0.895395	
0.03	0.03	2.72647e+07	7.41476e+09	2.3666e+06	4.01192e+06	0.871728	0.999681	0.920132	0.999459	0.920132	0.999144	0.895176	0.895276	
0.03	0.03	2.74499e+07	7.35803e+09	2.53e+06	3.87213e+06	0.876377	0.999656	0.91561	0.999474	0.91561	0.999134	0.895346	0.895564	
0.03	0.03	2.73502e+07	7.41369e+09	2.38361e+06	4.00656e+06	0.872227	0.999679	0.919835	0.99946	0.919835	0.999142	0.895287	0.895399	
0.03	0.03	2.75245e+07	7.42791e+09	2.50619e+06	3.89604e+06	0.876003	0.999663	0.916546	0.999476	0.916546	0.999142	0.895617	0.895816	
0.03	0.03	2.71855e+07	7.40655e+09	2.39768e+06	3.97955e+06	0.872307	0.999676	0.918951	0.999463	0.918951	0.999143	0.894898	0.895022	
0.03	0.03	2.67131e+07	7.09886e+09	2.26357e+06	3.86293e+06	0.873662	0.999681	0.921883	0.999456	0.921883	0.999141	0.89702	0.897125	
0.03	0.03	2.73433e+07	7.39894e+09	2.39149e+06	3.99923e+06	0.872403	0.999677	0.919573	0.99946	0.919573	0.99914	0.895248	0.895367	
0.03	0.03	2.76075e+07	7.43513e+09	2.53562e+06	3.89617e+06	0.876326	0.999659	0.915881	0.999476	0.915881	0.999139	0.895455	0.895667	
0.03	0.03	2.73924e+07	7.42291e+09	2.39078e+06	4.01731e+06	0.8721	0.999678	0.919727	0.999459	0.919727	0.999141	0.895168	0.895281	
0.03	0.03	2.74276e+07	7.42165e+09	2.36018e+06	4.05244e+06	0.87127	0.999682	0.920767	0.999454	0.920767	0.99914	0.895248	0.895335	
0.03	0.03	2.74674e+07	7.4321e+09	2.37934e+06	4.04253e+06	0.871706	0.99968	0.920281	0.999456	0.920281	0.99914	0.895236	0.895335	
0.03	0.03	2.74668e+07	7.42123e+09	2.53328e+06	3.88598e+06	0.876056	0.999659	0.915558	0.999477	0.915558	0.999139	0.895159	0.895372	
0.03	0.03	2.74162e+07	7.42874e+09	2.37647e+06	4.03529e+06	0.871698	0.99968	0.920233	0.999457	0.920233	0.999141	0.895209	0.895308	
0.03	0.03	2.74739e+07	7.42673e+09	2.40682e+06	4.00993e+06	0.872635	0.999676	0.919452	0.99946	0.919452	0.99914	0.895309	0.895432	
0.03	0.03	2.74421e+07	7.41308e+09	2.4887e+06	3.93458e+06	0.874602	0.999664	0.916852	0.99947	0.916852	0.999137	0.895047	0.895228	
0.03	0.03	2.75377e+07	7.44338e+09	2.53729e+06	3.90533e+06	0.875797	0.999659	0.915635	0.999476	0.915635	0.999138	0.895063	0.895273	
0.03	0.03	2.76236e+07	7.44635e+09	2.53231e+06	3.91188e+06	0.875953	0.99966	0.916026	0.999475	0.916026	0.999139	0.895335	0.895541	
0.03	0.03	2.74486e+07	7.43494e+09	2.38827e+06	4.02907e+06	0.872002	0.999679	0.919955	0.999458	0.919955	0.999141	0.895229	0.895337	
0.03	0.03	2.75999e+07	7.44075e+09	2.52176e+06	3.91642e+06	0.875733	0.999661	0.916281	0.999474	0.916281	0.999139	0.895347	0.895548	
0.03	0.03	2.7455e+07	7.43456e+09	2.36599e+06	4.05287e+06	0.871369	0.999682	0.92066	0.999455	0.92066	0.999141	0.895247	0.895337	
0.03	0.03	2.74562e+07	7.42955e+09	2.36529e+06	4.05315e+06	0.871367	0.999682	0.920685	0.999455	0.920685	0.99914	0.895258	0.895347	
0.03	0.03	2.73598e+07	7.40429e+09	2.37733e+06	4.00487e+06	0.872312	0.999679	0.920055	0.999459	0.920055	0.999142	0.895438	0.895548	
0.03	0.03	2.73641e+07	7.41669e+09	2.41668e+06	4.01165e+06	0.872142	0.999674	0.918851	0.999459	0.918851	0.999137	0.894761	0.894887	
0.03	0.03	2.73484e+07	7.40443e+09	2.48482e+06	3.89058e+06	0.875458	0.999665	0.91671	0.999475	0.91671	0.999143	0.895418	0.895609	
0.03	0.03	2.74727e+07	7.42768e+09	2.43672e+06	4.00555e+06	0.872752	0.999672	0.91853	0.999461	0.91853	0.999137	0.894917	0.895056	
0.03	0.03	2.74346e+07	7.43349e+09	2.38782e+06	4.02813e+06	0.871971	0.999679	0.919932	0.999458	0.919932	0.999141	0.895202	0.89531	
0.03	0.03	2.74746e+07	7.43845e+09	2.39656e+06	4.02752e+06	0.872151	0.999678	0.91977	0.999459	0.91977	0.99914	0.895215	0.895328	
0.03	0.03	2.74913e+07	7.41841e+09	2.50637e+06	3.90615e+06	0.87559	0.999662	0.916448	0.999474	0.916448	0.99914	0.895356	0.895553	
0.03	0.03	2.74787e+07	7.4404e+09	2.39404e+06	4.03097e+06	0.872072	0.999678	0.919859	0.999459	0.919859	0.99914	0.895218	0.895328	
0.03	0.03	2.74556e+07	7.43176e+09	2.3913e+06	4.02377e+06	0.872178	0.999678	0.919881	0.999459	0.919881	0.999141	0.895283	0.895394	
0.03	0.03	2.74728e+07	7.44175e+09	2.38797e+06	4.03913e+06	0.871822	0.999679	0.92003	0.999458	0.92003	0.99914	0.895173	0.895278	
0.03	0.03	2.74794e+07	7.41623e+09	2.51873e+06	3.89063e+06	0.875976	0.99966	0.916037	0.999476	0.916037	0.99914	0.895353	0.895559	
0.03	0.03	2.75031e+07	7.42144e+09	2.49947e+06	3.92318e+06	0.875163	0.999663	0.916691	0.999472	0.916691	0.999139	0.895256	0.895446	
0.03	0.03	2.74031e+07	7.43011e+09	2.38616e+06	4.01914e+06	0.872093	0.999679	0.919899	0.999459	0.919899	0.999142	0.895249	0.895358	
0.03	0.03	2.74842e+07	7.42244e+09	2.52501e+06	3.89615e+06	0.875841	0.99966	0.915859	0.999475	0.915859	0.999139	0.895196	0.895403	
0.03	0.03	2.75183e+07	7.42276e+09	2.53346e+06	3.89634e+06	0.875971	0.999659	0.915697	0.999475	0.915697	0.999138	0.895183	0.895393	
0.03	0.03	2.77431e+07	7.43971e+09	2.70702e+06	3.77743e+06	0.88016	0.999636	0.9111	0.999493	0.9111	0.999132	0.895062	0.895362	
0.03	0.03	2.75976e+07	7.41044e+09	2.70059e+06	3.76403e+06	0.87998	0.999636	0.910866	0.999492	0.910866	0.999132	0.894855	0.895157	
0.03	0.03	2.75306e+07	7.42336e+09	2.50658e+06	3.92174e+06	0.875312	0.999662	0.916551	0.999472	0.916551	0.999138	0.895263	0.895457	
0.03	0.03	2.74524e+07	7.41917e+09	2.3992e+06	4.0206e+06	0.872252	0.999677	0.919629	0.999458	0.919629	0.999139	0.895198	0.895314	
0.03	0.03	2.71405e+07	7.3425e+09	2.34592e+06	3.97856e+06	0.872151	0.999681	0.920441	0.999458	0.920441	0.999143	0.895543	0.895645	
0.03	0.03	2.75613e+07	7.42541e+09	2.5365e+06	3.8897e+06	0.876325	0.999659	0.915725	0.999476	0.915725	0.999139	0.895378	0.895592	
0.03	0.03	2.73703e+07	7.39062e+09	2.39107e+06	3.99577e+06	0.872609	0.999677	0.919659	0.99946	0.919659	0.99914	0.895396	0.895516	
0.03	0.03	2.74431e+07	7.44373e+09	2.35572e+06	4.07252e+06	0.870778	0.999684	0.920946	0.999453	0.920946	0.99914	0.895082	0.895159	
0.03	0.03	2.74491e+07	7.43407e+09	2.39385e+06	4.03146e+06	0.871938	0.999678	0.919785	0.999458	0.919785	0.99914	0.895113	0.895223	
0.03	0.03	2.74718e+07	7.41963e+09	2.43401e+06	3.99998e+06	0.872903	0.999672	0.918611	0.999461	0.918611	0.999137	0.895034	0.895174	
0.03	0.03	2.74748e+07	7.42855e+09	2.39037e+06	4.02904e+06	0.872109	0.999678	0.919961	0.999458	0.919961	0.99914	0.895287	0.895396	
0.03	0.03	2.7592e+07	7.41573e+09	2.54273e+06	3.88708e+06	0.876519	0.999657	0.915621	0.999476	0.915621	0.999137	0.895425	0.895643	
0.03	0.03	2.76387e+07	7.44793e+09	2.5365e+06	3.90778e+06	0.876126	0.99966	0.915941	0.999476	0.915941	0.999139	0.895382	0.895591	
0.03	0.03	2.7345e+07	7.40175e+09	2.37021e+06	4.01131e+06	0.872073	0.99968	0.920236	0.999458	0.920236	0.999142	0.895403	0.895507	
0.03	0.03	2.7411e+07	7.43388e+09	2.37987e+06	4.03024e+06	0.871817	0.99968	0.920114	0.999458	0.920114	0.999142	0.895212	0.895315	
0.03	0.03	2.74481e+07	7.43871e+09	2.35835e+06	4.0775e+06	0.870661	0.999683	0.920878	0.999452	0.920878	0.999139	0.894988	0.895065	
0.03	0.03	2.74187e+07	7.39361e+09	2.50637e+06	3.88873e+06	0.875789	0.999661	0.916245	0.999474	0.916245	0.999139	0.895359	0.895561	
0.03	0.03	2.74617e+07	7.43296e+09	2.40835e+06	4.01332e+06	0.872492	0.999676	0.919372	0.99946	0.919372	0.99914	0.895196	0.895319	
0.03	0.03	2.74568e+07	7.42967e+09	2.3714e+06	4.04866e+06	0.871493	0.999681	0.920498	0.999455	0.920498	0.99914	0.895232	0.895325	
0.03	0.03	2.74443e+07	7.42674e+09	2.41925e+06	4.01147e+06	0.872472	0.999674	0.91899	0.99946	0.91899	0.999138	0.894999	0.895127	
0.03	0.03	2.74146e+07	7.42363e+09	2.36113e+06	4.03655e+06	0.871657	0.999682	0.920703	0.999457	0.920703	0.999142	0.895416	0.895509	
0.03	0.03	2.76071e+07	7.44673e+09	2.51871e+06	3.92714e+06	0.875464	0.999662	0.916394	0.999473	0.916394	0.999138	0.895265	0.895461	
0.03	0.03	2.7369e+07	7.41145e+09	2.41398e+06	3.99769e+06	0.87255	0.999674	0.918948	0.999461	0.918948	0.999139	0.895019	0.895148	
0.03	0.03	2.75622e+07	7.41649e+09	2.51558e+06	3.91124e+06	0.875729	0.999661	0.916364	0.999473	0.916364	0.999137	0.895385	0.895586	
0.03	0.03	2.73648e+07	7.42181e+09	2.40997e+06	4.02281e+06	0.871835	0.999675	0.91906	0.999458	0.91906	0.999137	0.894705	0.894825	
0.03	0.03	2.76615e+07	7.43942e+09	2.62535e+06	3.8681e+06	0.877318	0.999647	0.913317	0.99948	0.913317	0.999131	0.894702	0.894956	
0.03	0.03	2.74357e+07	7.42821e+09	2.42559e+06	4.00909e+06	0.872504	0.999674	0.918771	0.999461	0.918771	0.999138	0.894908	0.89504	
0.03	0.03	2.75005e+07	7.44255e+09	2.41614e+06	4.03558e+06	0.872033	0.999675	0.919237	0.999458	0.919237	0.999137	0.894894	0.895013	
0.03	0.03	2.76196e+07	7.38872e+09	2.6777e+06	3.77878e+06	0.87965	0.999638	0.911619	0.999489	0.911619	0.99913	0.895057	0.89535	
0.03	0.03	2.75374e+07	7.43862e+09	2.48336e+06	3.95247e+06	0.874484	0.999666	0.917279	0.999469	0.917279	0.999139	0.895196	0.89537	
0.03	0.03	2.75302e+07	7.42141e+09	2.53923e+06	3.88997e+06	0.876195	0.999658	0.915555	0.999476	0.915555	0.999138	0.895228	0.895443	
0.03	0.03	2.76164e+07	7.44093e+09	2.62694e+06	3.86728e+06	0.877166	0.999647	0.91314	0.999481	0.91314	0.999131	0.894538	0.894791	
0.03	0.03	2.74539e+07	7.44067e+09	2.38645e+06	4.03648e+06	0.871819	0.999679	0.920026	0.999458	0.920026	0.999141	0.89517	0.895274	
0.03	0.03	2.74541e+07	7.44138e+09	2.3995e+06	4.05274e+06	0.87137	0.999678	0.919625	0.999456	0.919625	0.999137	0.894742	0.894847	
0.03	0.03	2.74735e+07	7.43223e+09	2.38906e+06	4.02426e+06	0.872237	0.999679	0.919998	0.999459	0.919998	0.999141	0.895371	0.895481	
0.03	0.03	2.7474e+07	7.43613e+09	2.39348e+06	4.02798e+06	0.872136	0.999678	0.919863	0.999459	0.919863	0.99914	0.895253	0.895364	
0.03	0.03	2.74554e+07	7.43686e+09	2.42415e+06	4.0168e+06	0.87237	0.999674	0.918869	0.99946	0.918869	0.999138	0.894888	0.895016	
0.03	0.03	2.75448e+07	7.41542e+09	2.53236e+06	3.88113e+06	0.876499	0.999659	0.915805	0.999477	0.915805	0.999139	0.895506	0.895721	
0.03	0.03	2.76753e+07	7.41536e+09	2.71321e+06	3.75583e+06	0.880506	0.999634	0.910716	0.999494	0.910716	0.999132	0.895049	0.895356	
