iter	label	cutoff	numotus	tp	tn	fp	fn	sensitivity	specificity	ppv	npv	fdr	accuracy	mcc	f1score
1	0.03	0.03	219	206	51404	1	70	0.7464	1	0.9952	0.9986	0.9952	0.9986	0.8612	0.853
1	0.03	0.03	173	319	38644	6	91	0.778	0.9998	0.9815	0.9977	0.9815	0.9975	0.8728	0.868
1	0.03	0.03	175	386	41999	5	96	0.8008	0.9999	0.9872	0.9977	0.9872	0.9976	0.8881	0.8843
1	0.03	0.03	152	120	24582	2	49	0.7101	0.9999	0.9836	0.998	0.9836	0.9979	0.8348	0.8247
1	0.03	0.03	297	197	78722	9	75	0.7243	0.9999	0.9563	0.999	0.9563	0.9989	0.8318	0.8243
1	0.03	0.03	318	462	127147	18	138	0.77	0.9999	0.9625	0.9989	0.9625	0.9988	0.8603	0.8556
1	0.03	0.03	257	118	55409	1	83	0.5871	1	0.9916	0.9985	0.9916	0.9985	0.7624	0.7375
1	0.03	0.03	289	242	85567	19	77	0.7586	0.9998	0.9272	0.9991	0.9272	0.9989	0.8382	0.8345
1	0.03	0.03	307	951	131640	48	231	0.8046	0.9996	0.952	0.9982	0.952	0.9979	0.8742	0.8721
1	0.03	0.03	244	241	69401	10	99	0.7088	0.9999	0.9602	0.9986	0.9602	0.9984	0.8243	0.8156
1	0.03	0.03	302	640	136139	26	221	0.7433	0.9998	0.961	0.9984	0.961	0.9982	0.8443	0.8382
1	0.03	0.03	151	87	22013	1	54	0.617	1	0.9886	0.9976	0.9886	0.9975	0.78	0.7598
1	0.03	0.03	188	82	29269	5	47	0.6357	0.9998	0.9425	0.9984	0.9425	0.9982	0.7733	0.7593
1	0.03	0.03	288	743	120296	64	175	0.8094	0.9995	0.9207	0.9985	0.9207	0.998	0.8623	0.8614
1	0.03	0.03	364	276	137637	2	160	0.633	1	0.9928	0.9988	0.9928	0.9988	0.7923	0.7731
1	0.03	0.03	344	434	166102	25	192	0.6933	0.9998	0.9455	0.9988	0.9455	0.9987	0.8091	0.8
1	0.03	0.03	150	37	15861	0	33	0.5286	1	1	0.9979	1	0.9979	0.7263	0.6916
1	0.03	0.03	254	704	115419	32	248	0.7395	0.9997	0.9565	0.9979	0.9565	0.9976	0.8399	0.8341
1	0.03	0.03	166	108	26163	4	60	0.6429	0.9998	0.9643	0.9977	0.9643	0.9976	0.7863	0.7714
1	0.03	0.03	181	114	29711	2	63	0.6441	0.9999	0.9828	0.9979	0.9828	0.9978	0.7947	0.7782
1	0.03	0.03	241	178	59393	3	111	0.6159	0.9999	0.9834	0.9981	0.9834	0.9981	0.7775	0.7574
1	0.03	0.03	239	177	52722	6	70	0.7166	0.9999	0.9672	0.9987	0.9672	0.9986	0.8319	0.8233
1	0.03	0.03	284	153	70685	4	34	0.8182	0.9999	0.9745	0.9995	0.9745	0.9995	0.8927	0.8895
1	0.03	0.03	267	372	87092	4	103	0.7832	1	0.9894	0.9988	0.9894	0.9988	0.8797	0.8743
1	0.03	0.03	260	516	105266	41	207	0.7137	0.9996	0.9264	0.998	0.9264	0.9977	0.812	0.8063
1	0.03	0.03	153	46	17876	0	33	0.5823	1	1	0.9982	1	0.9982	0.7624	0.736
1	0.03	0.03	263	498	102137	16	180	0.7345	0.9998	0.9689	0.9982	0.9689	0.9981	0.8427	0.8356
1	0.03	0.03	284	476	108159	35	141	0.7715	0.9997	0.9315	0.9987	0.9315	0.9984	0.847	0.844
1	0.03	0.03	186	96	30236	2	47	0.6713	0.9999	0.9796	0.9984	0.9796	0.9984	0.8103	0.7967
1	0.03	0.03	261	74	50907	1	58	0.5606	1	0.9867	0.9989	0.9867	0.9988	0.7433	0.715
1	0.03	0.03	218	250	54584	7	105	0.7042	0.9999	0.9728	0.9981	0.9728	0.998	0.8268	0.817
1	0.03	0.03	154	58	19398	2	45	0.5631	0.9999	0.9667	0.9977	0.9667	0.9976	0.7368	0.7117
1	0.03	0.03	266	227	82292	3	99	0.6963	1	0.987	0.9988	0.987	0.9988	0.8285	0.8165
1	0.03	0.03	95	157	12801	11	72	0.6856	0.9991	0.9345	0.9944	0.9345	0.9936	0.7975	0.7909
1	0.03	0.03	141	73	18427	2	26	0.7374	0.9999	0.9733	0.9986	0.9733	0.9985	0.8465	0.8391
1	0.03	0.03	115	78	11644	0	59	0.5693	1	1	0.995	1	0.995	0.7526	0.7256
1	0.03	0.03	124	120	17232	3	36	0.7692	0.9998	0.9756	0.9979	0.9756	0.9978	0.8653	0.8602
1	0.03	0.03	161	59	21395	1	73	0.447	1	0.9833	0.9966	0.9833	0.9966	0.6618	0.6146
1	0.03	0.03	215	196	46692	6	77	0.7179	0.9999	0.9703	0.9984	0.9703	0.9982	0.8339	0.8253
1	0.03	0.03	173	73	24863	1	39	0.6518	1	0.9865	0.9984	0.9865	0.9984	0.8012	0.7849
1	0.03	0.03	243	70	43531	4	55	0.56	0.9999	0.9459	0.9987	0.9459	0.9986	0.7273	0.7035
1	0.03	0.03	263	438	97318	16	131	0.7698	0.9998	0.9648	0.9987	0.9648	0.9985	0.8611	0.8563
1	0.03	0.03	226	273	62789	9	119	0.6964	0.9999	0.9681	0.9981	0.9681	0.998	0.8202	0.8101
1	0.03	0.03	242	427	83267	12	139	0.7544	0.9999	0.9727	0.9983	0.9727	0.9982	0.8558	0.8498
1	0.03	0.03	260	208	69816	7	94	0.6887	0.9999	0.9674	0.9987	0.9674	0.9986	0.8157	0.8046
1	0.03	0.03	248	172	60053	9	144	0.5443	0.9999	0.9503	0.9976	0.9503	0.9975	0.7182	0.6922
1	0.03	0.03	216	104	41756	6	39	0.7273	0.9999	0.9455	0.9991	0.9455	0.9989	0.8287	0.8221
1	0.03	0.03	299	82	65544	0	77	0.5157	1	1	0.9988	1	0.9988	0.7177	0.6805
1	0.03	0.03	249	66	43532	0	62	0.5156	1	1	0.9986	1	0.9986	0.7176	0.6804
1	0.03	0.03	163	110	24578	2	63	0.6358	0.9999	0.9821	0.9974	0.9821	0.9974	0.7892	0.7719
1	0.03	0.03	300	219	88494	7	111	0.6636	0.9999	0.969	0.9987	0.969	0.9987	0.8014	0.7878
1	0.03	0.03	243	121	50825	8	86	0.5845	0.9998	0.938	0.9983	0.938	0.9982	0.7397	0.7202
1	0.03	0.03	293	512	97658	24	152	0.7711	0.9998	0.9552	0.9984	0.9552	0.9982	0.8574	0.8533
1	0.03	0.03	202	66	30029	1	39	0.6286	1	0.9851	0.9987	0.9851	0.9987	0.7863	0.7674
1	0.03	0.03	178	337	42060	13	76	0.816	0.9997	0.9629	0.9982	0.9629	0.9979	0.8854	0.8834
1	0.03	0.03	109	89	10458	2	36	0.712	0.9998	0.978	0.9966	0.978	0.9964	0.8329	0.8241
1	0.03	0.03	90	173	13147	5	41	0.8084	0.9996	0.9719	0.9969	0.9719	0.9966	0.8848	0.8827
1	0.03	0.03	280	68	55169	1	40	0.6296	1	0.9855	0.9993	0.9855	0.9993	0.7874	0.7684
1	0.03	0.03	242	310	72718	10	115	0.7294	0.9999	0.9688	0.9984	0.9688	0.9983	0.8398	0.8322
1	0.03	0.03	227	189	54346	10	70	0.7297	0.9998	0.9497	0.9987	0.9497	0.9985	0.8318	0.8253
1	0.03	0.03	201	333	54448	22	143	0.6996	0.9996	0.938	0.9974	0.938	0.997	0.8087	0.8014
1	0.03	0.03	213	74	34848	0	58	0.5606	1	1	0.9983	1	0.9983	0.7481	0.7184
1	0.03	0.03	260	161	67664	7	64	0.7156	0.9999	0.9583	0.9991	0.9583	0.999	0.8276	0.8193
1	0.03	0.03	210	320	61994	11	156	0.6723	0.9998	0.9668	0.9975	0.9668	0.9973	0.805	0.7931
1	0.03	0.03	183	192	35540	6	40	0.8276	0.9998	0.9697	0.9989	0.9697	0.9987	0.8952	0.893
1	0.03	0.03	167	174	31388	6	58	0.75	0.9998	0.9667	0.9982	0.9667	0.998	0.8505	0.8447
1	0.03	0.03	299	94	66614	2	85	0.5251	1	0.9792	0.9987	0.9792	0.9987	0.7166	0.6836
1	0.03	0.03	197	231	47855	11	108	0.6814	0.9998	0.9545	0.9977	0.9545	0.9975	0.8054	0.7952
1	0.03	0.03	194	292	44128	30	101	0.743	0.9993	0.9068	0.9977	0.9068	0.9971	0.8194	0.8168
1	0.03	0.03	336	192	102127	5	54	0.7805	1	0.9746	0.9995	0.9746	0.9994	0.8719	0.8668
1	0.03	0.03	255	674	114987	23	237	0.7398	0.9998	0.967	0.9979	0.967	0.9978	0.8448	0.8383
1	0.03	0.03	178	152	31909	7	63	0.707	0.9998	0.956	0.998	0.956	0.9978	0.8211	0.8128
1	0.03	0.03	46	1182	10506	26	67	0.9464	0.9975	0.9785	0.9937	0.9785	0.9921	0.9579	0.9621
1	0.03	0.03	205	168	45211	4	68	0.7119	0.9999	0.9767	0.9985	0.9767	0.9984	0.8332	0.8235
1	0.03	0.03	240	650	109321	42	202	0.7629	0.9996	0.9393	0.9982	0.9393	0.9978	0.8455	0.842
1	0.03	0.03	287	209	81497	5	99	0.6786	0.9999	0.9766	0.9988	0.9766	0.9987	0.8135	0.8008
1	0.03	0.03	281	491	121534	32	208	0.7024	0.9997	0.9388	0.9983	0.9388	0.998	0.8112	0.8036
1	0.03	0.03	234	395	76027	21	193	0.6718	0.9997	0.9495	0.9975	0.9495	0.9972	0.7974	0.7869
