label,cutoff,tp,tn,fp,fn,sensitivity,specificity,ppv,npv,fdr,accuracy,mcc,f1score,sample,type
0.03,0.03,264,138709,7,148,0.640777,0.99995,0.97417,0.998934,0.97417,0.998886,0.789616,0.77306,2107650,optifit_in
0.03,0.03,66,14764,0,48,0.578947,1,1,0.996759,1,0.996774,0.759652,0.733333,2109653,optifit_in
0.03,0.03,440,192362,20,309,0.58745,0.999896,0.956522,0.998396,0.956522,0.998296,0.748911,0.727874,2113670,optifit_in
0.03,0.03,1124,405439,51,639,0.63755,0.999874,0.956596,0.998426,0.956596,0.998306,0.780227,0.765146,2115650,optifit_in
0.03,0.03,201,70534,1,140,0.589443,0.999986,0.99505,0.998019,0.99505,0.998011,0.765077,0.740331,2117651,optifit_in
0.03,0.03,479,192307,20,325,0.595771,0.999896,0.95992,0.998313,0.95992,0.998214,0.755505,0.735226,2119650,optifit_in
0.03,0.03,230,39164,12,215,0.516854,0.999694,0.950413,0.99454,0.950413,0.994271,0.698651,0.669578,2123652,optifit_in
0.03,0.03,952,393209,44,511,0.650718,0.999888,0.955823,0.998702,0.955823,0.998594,0.788048,0.774298,2125650,optifit_in
0.03,0.03,1037,274061,63,492,0.678221,0.99977,0.942727,0.998208,0.942727,0.997987,0.798715,0.788893,2127650,optifit_in
0.03,0.03,662,178596,54,388,0.630476,0.999698,0.924581,0.997832,0.924581,0.99754,0.762418,0.749717,2129660,optifit_in
0.03,0.03,907,366061,67,618,0.594754,0.999817,0.931211,0.998315,0.931211,0.998137,0.743417,0.72589,2131650,optifit_in
0.03,0.03,226,56210,13,167,0.575064,0.999769,0.945607,0.997038,0.945607,0.996821,0.736113,0.71519,2133650,optifit_in
0.03,0.03,104,44345,2,100,0.509804,0.999955,0.981132,0.99775,0.981132,0.99771,0.706395,0.670968,2137650,optifit_in
0.03,0.03,942,470309,44,611,0.606568,0.999906,0.955375,0.998703,0.955375,0.998612,0.760673,0.742024,2139650,optifit_in
0.03,0.03,395,104785,19,371,0.515666,0.999819,0.954106,0.996472,0.954106,0.996306,0.700006,0.669492,2143653,optifit_in
0.03,0.03,490,328384,32,360,0.576471,0.999903,0.938697,0.998905,0.938697,0.998809,0.735125,0.714286,2145660,optifit_in
0.03,0.03,335,77252,23,205,0.62037,0.999702,0.935754,0.997353,0.935754,0.99707,0.760654,0.746102,2147680,optifit_in
0.03,0.03,276,118349,8,195,0.585987,0.999932,0.971831,0.998355,0.971831,0.998292,0.753957,0.731126,2149650,optifit_in
0.03,0.03,536,313807,21,457,0.539778,0.999933,0.962298,0.998546,0.962298,0.998482,0.720124,0.691613,2151650,optifit_in
0.03,0.03,95,54764,6,81,0.539773,0.99989,0.940594,0.998523,0.940594,0.998417,0.711904,0.685921,2153660,optifit_in
0.03,0.03,1186,517663,99,742,0.615145,0.999809,0.922957,0.998569,0.922957,0.998382,0.752792,0.738251,2155650,optifit_in
0.03,0.03,311,152122,24,171,0.645228,0.999842,0.928358,0.998877,0.928358,0.998722,0.77339,0.761322,2157660,optifit_in
0.03,0.03,393,302237,17,384,0.505792,0.999944,0.958537,0.998731,0.958537,0.998677,0.69579,0.662174,2159650,optifit_in
0.03,0.03,118,31978,2,33,0.781457,0.999937,0.983333,0.998969,0.983333,0.998911,0.876108,0.870849,2161653,optifit_in
0.03,0.03,138,84368,0,160,0.463087,1,1,0.998107,1,0.99811,0.679861,0.633028,2163653,optifit_in
0.03,0.03,93,68852,4,57,0.62,0.999942,0.958763,0.999173,0.958763,0.999116,0.770626,0.753036,2165652,optifit_in
0.03,0.03,201,81836,10,168,0.544715,0.999878,0.952607,0.997951,0.952607,0.997835,0.719491,0.693103,2167670,optifit_in
0.03,0.03,334,143814,17,288,0.536977,0.999882,0.951567,0.998001,0.951567,0.997889,0.713992,0.686536,2169653,optifit_in
0.03,0.03,185,72356,5,225,0.45122,0.999931,0.973684,0.9969,0.973684,0.996839,0.661725,0.616667,2171690,optifit_in
0.03,0.03,1417,459651,96,1077,0.568164,0.999791,0.93655,0.997662,0.93655,0.997462,0.728416,0.707262,2173650,optifit_in
0.03,0.03,254,101478,9,185,0.578588,0.999911,0.965779,0.99818,0.965779,0.998097,0.74676,0.723647,2177653,optifit_in
0.03,0.03,259,127741,12,259,0.5,0.999906,0.95572,0.997977,0.95572,0.997887,0.690477,0.656527,2179650,optifit_in
0.03,0.03,1157,558288,73,693,0.625405,0.999869,0.94065,0.99876,0.94065,0.998633,0.766414,0.751299,2181650,optifit_in
0.03,0.03,1303,685121,67,887,0.594977,0.999902,0.951095,0.998707,0.951095,0.998612,0.751677,0.732022,2183650,optifit_in
0.03,0.03,242,97480,13,168,0.590244,0.999867,0.94902,0.99828,0.94902,0.998151,0.747671,0.72782,2185670,optifit_in
0.03,0.03,451,201845,34,236,0.656477,0.999832,0.929897,0.998832,0.929897,0.998667,0.780726,0.769625,2187680,optifit_in
0.03,0.03,196,63195,6,149,0.568116,0.999905,0.970297,0.997648,0.970297,0.997561,0.741494,0.716636,2189650,optifit_in
0.03,0.03,613,307545,27,320,0.65702,0.999912,0.957812,0.998961,0.957812,0.998875,0.792802,0.779402,2193650,optifit_in
