cv_metric_AUC,logLoss,AUC,prAUC,Accuracy,Kappa,F1,Sensitivity,Specificity,Pos_Pred_Value,Neg_Pred_Value,Precision,Recall,Detection_Rate,Balanced_Accuracy,method,seed,split,algorithm
0.672651711269365,0.589418705694432,0.774069319640565,0.756222818679183,0.73469387755102,0.447288503253796,0.779661016949153,0.807017543859649,0.634146341463415,0.754098360655738,0.702702702702703,0.754098360655738,0.807017543859649,0.469387755102041,0.720581942661532,rf,1,split_1,opticlust
0.687810260863824,0.631410431760713,0.736819727891156,0.699868468358486,0.683673469387755,0.371014492753623,0.699029126213592,0.642857142857143,0.738095238095238,0.765957446808511,0.607843137254902,0.765957446808511,0.642857142857143,0.36734693877551,0.69047619047619,rf,2,split_2,opticlust
0.690956334608726,0.626121017511549,0.685816498316498,0.685728325582814,0.642857142857143,0.270523181624841,0.690265486725664,0.722222222222222,0.545454545454545,0.661016949152542,0.615384615384615,0.661016949152542,0.722222222222222,0.397959183673469,0.633838383838384,rf,3,split_3,opticlust
0.672803925283577,0.596512051181466,0.767255892255892,0.753150549987176,0.724489795918367,0.437260740110591,0.761061946902655,0.796296296296296,0.636363636363636,0.728813559322034,0.717948717948718,0.728813559322034,0.796296296296296,0.438775510204082,0.716329966329966,rf,4,split_4,opticlust
0.691145687014363,0.628508323300515,0.708386820710312,0.684114839052795,0.673469387755102,0.329054343175011,0.719298245614035,0.719298245614035,0.609756097560976,0.719298245614035,0.609756097560976,0.719298245614035,0.719298245614035,0.418367346938776,0.664527171587505,rf,5,split_5,opticlust
0.680035355664749,0.593599264207696,0.77555277430121,0.769949021436908,0.714285714285714,0.422801851072781,0.75,0.823529411764706,0.595744680851064,0.688524590163935,0.756756756756757,0.688524590163934,0.823529411764706,0.428571428571429,0.709637046307885,rf,6,split_6,opticlust
0.697304720178688,0.649010089268652,0.683125,0.650785694635363,0.622448979591837,0.239194292908099,0.683760683760684,0.8,0.4375,0.597014925373134,0.67741935483871,0.597014925373134,0.8,0.408163265306122,0.61875,rf,7,split_7,opticlust
0.689865251097223,0.633492390883259,0.726185201595038,0.676024684273348,0.693877551020408,0.362255965292842,0.745762711864407,0.721311475409836,0.648648648648649,0.771929824561403,0.585365853658537,0.771929824561403,0.721311475409836,0.448979591836735,0.684980062029242,rf,8,split_8,opticlust
0.705816481405312,0.641327444679448,0.696875,0.672442501421395,0.673469387755102,0.340622371740959,0.737704918032787,0.9,0.4375,0.625,0.807692307692308,0.625,0.9,0.459183673469388,0.66875,rf,9,split_9,opticlust
0.701856195509328,0.631813774221761,0.688963210702341,0.660772973947052,0.653061224489796,0.289249146757679,0.716666666666667,0.826923076923077,0.456521739130435,0.632352941176471,0.7,0.632352941176471,0.826923076923077,0.438775510204082,0.641722408026756,rf,10,split_10,opticlust
0.69337597178157,0.651296057011815,0.695,0.657174617720897,0.63265306122449,0.258200168208579,0.704918032786885,0.86,0.395833333333333,0.597222222222222,0.730769230769231,0.597222222222222,0.86,0.438775510204082,0.627916666666667,rf,11,split_11,opticlust
0.699545818000034,0.640332220432301,0.709375,0.677397479099541,0.602040816326531,0.195368421052632,0.688,0.86,0.333333333333333,0.573333333333333,0.695652173913043,0.573333333333333,0.86,0.438775510204082,0.596666666666667,rf,12,split_12,opticlust
0.687738585716682,0.632261958501274,0.720416666666667,0.692863505086208,0.612244897959184,0.229304635761589,0.660714285714286,0.770833333333333,0.46,0.578125,0.676470588235294,0.578125,0.770833333333333,0.377551020408163,0.615416666666667,rf,13,split_13,opticlust
0.706731744581832,0.662330902207008,0.6825,0.66418371451577,0.622448979591837,0.237273874631889,0.699186991869919,0.86,0.375,0.589041095890411,0.72,0.589041095890411,0.86,0.438775510204082,0.6175,rf,14,split_14,opticlust
0.693717181654917,0.611805128430895,0.761842105263158,0.741331651595473,0.744897959183674,0.438331040806969,0.806201550387597,0.866666666666667,0.552631578947368,0.753623188405797,0.724137931034483,0.753623188405797,0.866666666666667,0.530612244897959,0.709649122807018,rf,15,split_15,opticlust
0.695231852021178,0.62544239109662,0.709513742071882,0.680995090617448,0.642857142857143,0.257897014279533,0.705882352941177,0.763636363636364,0.488372093023256,0.65625,0.617647058823529,0.65625,0.763636363636364,0.428571428571429,0.62600422832981,rf,16,split_16,opticlust
0.69568825756996,0.637428839868351,0.702708333333333,0.689487070484257,0.612244897959184,0.220268006700168,0.660714285714286,0.74,0.479166666666667,0.596774193548387,0.638888888888889,0.596774193548387,0.74,0.377551020408163,0.609583333333333,rf,17,split_17,opticlust
0.685404977149484,0.630807602218037,0.703703703703704,0.670685414645247,0.663265306122449,0.300302899177845,0.727272727272727,0.814814814814815,0.477272727272727,0.656716417910448,0.67741935483871,0.656716417910448,0.814814814814815,0.448979591836735,0.646043771043771,rf,18,split_18,opticlust
0.706461344830236,0.669906531075932,0.651936026936027,0.638564406854208,0.571428571428571,0.175480769230769,0.5,0.388888888888889,0.795454545454545,0.7,0.514705882352941,0.7,0.388888888888889,0.214285714285714,0.592171717171717,rf,19,split_19,opticlust
0.683030279047515,0.618941897688123,0.763871506049228,0.729037254855799,0.642857142857143,0.297994269340974,0.700854700854701,0.872340425531915,0.431372549019608,0.585714285714286,0.785714285714286,0.585714285714286,0.872340425531915,0.418367346938776,0.651856487275761,rf,20,split_20,opticlust
0.709004800921396,0.63878653929512,0.632220795892169,0.627283411115478,0.622448979591837,0.199558498896247,0.699186991869919,0.754385964912281,0.439024390243902,0.651515151515151,0.5625,0.651515151515151,0.754385964912281,0.438775510204082,0.596705177578092,rf,21,split_21,opticlust
