"","cv_metric_AUC","Accuracy","Kappa","Mean_F1","Mean_Sensitivity","Mean_Specificity","Mean_Pos_Pred_Value","Mean_Neg_Pred_Value","Mean_Precision","Mean_Recall","Mean_Detection_Rate","Mean_Balanced_Accuracy","method","seed","split","algorithm"
"1",0.678448988542693,0.714285714285714,0.404772234273319,NA,NA,0.849807445442875,NA,NA,NA,NA,0.178571428571429,NA,"rf",2021,"split_1","opticlust"
"2",0.693251270490753,0.663265306122449,0.31044776119403,NA,NA,0.827380952380952,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_2","opticlust"
"3",0.694638260499911,0.663265306122449,0.315120711562897,NA,NA,0.828282828282828,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_3","opticlust"
"4",0.677368844064574,0.683673469387755,0.348348348348348,NA,NA,0.83543771043771,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_4","opticlust"
"5",0.697139364005942,0.642857142857143,0.263632460283384,NA,NA,0.815682498930252,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_5","opticlust"
"6",0.669224936318605,0.714285714285714,0.423771524569509,NA,NA,0.855235711305799,NA,NA,NA,NA,0.178571428571429,NA,"rf",2021,"split_6","opticlust"
"7",0.699189014587929,0.642857142857143,0.281524926686217,NA,NA,0.82,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_7","opticlust"
"8",0.691159154909719,0.693877551020408,0.368827823100043,NA,NA,0.84514842711564,NA,NA,NA,NA,0.173469387755102,NA,"rf",2021,"split_8","opticlust"
"9",0.70641650730475,0.622448979591837,0.239194292908099,NA,NA,0.809375,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_9","opticlust"
"10",0.695317966845723,0.663265306122449,0.312792180195495,NA,NA,0.826923076923077,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_10","opticlust"
"11",0.707549328586601,0.581632653061224,0.155527532576713,NA,NA,0.788541666666667,NA,NA,NA,NA,0.145408163265306,NA,"rf",2021,"split_11","opticlust"
"12",0.702335027292444,0.663265306122449,0.31858407079646,NA,NA,0.82875,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_12","opticlust"
"13",0.691418201886186,0.663265306122449,0.329879817654372,NA,NA,0.832916666666667,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_13","opticlust"
"14",0.704183506332161,0.622448979591837,0.237273874631889,NA,NA,0.80875,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_14","opticlust"
"15",0.698988511186486,0.673469387755102,0.298747763864043,NA,NA,0.823245614035088,NA,NA,NA,NA,0.168367346938776,NA,"rf",2021,"split_15","opticlust"
"16",0.695890769954029,0.714285714285714,0.40785498489426,NA,NA,0.849894291754757,NA,NA,NA,NA,0.178571428571429,NA,"rf",2021,"split_16","opticlust"
"17",0.698044262742918,0.642857142857143,0.282726892513593,NA,NA,0.820416666666667,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_17","opticlust"
"18",0.682649248914186,0.642857142857143,0.261094355881086,NA,NA,0.813762626262626,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_18","opticlust"
"19",0.704635916980618,0.581632653061224,0.19672131147541,NA,NA,0.801767676767677,NA,NA,NA,NA,0.145408163265306,NA,"rf",2021,"split_19","opticlust"
"20",0.683689403952738,0.683673469387755,0.379239885574172,NA,NA,0.846787651230705,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_20","opticlust"
"21",0.715241149755147,0.622448979591837,0.19386393952868,NA,NA,0.796640992725717,NA,NA,NA,NA,0.155612244897959,NA,"rf",2021,"split_21","opticlust"
"22",0.682173776252068,0.663265306122449,0.33810888252149,NA,NA,0.836149353358365,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_22","opticlust"
"23",0.702480517609139,0.642857142857143,0.226432115471358,NA,NA,0.803701326486949,NA,NA,NA,NA,0.160714285714286,NA,"rf",2021,"split_23","opticlust"
"24",0.677972975158089,0.755102040816326,0.500848896434635,NA,NA,0.874158249158249,NA,NA,NA,NA,0.188775510204082,NA,"rf",2021,"split_24","opticlust"
"25",0.683300334983359,0.683673469387755,0.379239885574172,NA,NA,0.846787651230705,NA,NA,NA,NA,0.170918367346939,NA,"rf",2021,"split_25","opticlust"
"26",0.700301154087843,0.63265306122449,0.252858958068615,NA,NA,0.812578616352201,NA,NA,NA,NA,0.158163265306122,NA,"rf",2021,"split_26","opticlust"
"27",0.708695927256371,0.63265306122449,0.255067567567568,NA,NA,0.813127090301003,NA,NA,NA,NA,0.158163265306122,NA,"rf",2021,"split_27","opticlust"
"28",0.686372458739494,0.663265306122449,0.252427184466019,NA,NA,0.811904761904762,NA,NA,NA,NA,0.165816326530612,NA,"rf",2021,"split_28","opticlust"
"29",0.712806658274198,0.63265306122449,0.231707317073171,NA,NA,0.806547619047619,NA,NA,NA,NA,0.158163265306122,NA,"rf",2021,"split_29","opticlust"
"30",0.722438165782679,0.612244897959184,0.203252032520325,NA,NA,0.79979035639413,NA,NA,NA,NA,0.153061224489796,NA,"rf",2021,"split_30","opticlust"
"31",0.702132489633633,0.653061224489796,0.29196770080748,NA,NA,0.823491655969191,NA,NA,NA,NA,0.163265306122449,NA,"rf",2021,"split_31","opticlust"
"32",0.695171161062684,0.693877551020408,0.376325837929572,NA,NA,0.842511472674176,NA,NA,NA,NA,0.173469387755102,NA,"rf",2021,"split_32","opticlust"
